country,freedomhouse_score,quality_of_life_index,purchasing_power_index,safety_index,health_care_index,cost_of_living_index,property_price_to_income_ratio,traffic_commute_time_index,pollution_index,climate_index
Afghanistan,26.0,,29.21,27.37,28.61,24.95,12.85,56.17,91.94,
Bolivia,67.0,,44.31,46.53,50.41,34.13,9.21,44.54,78.02,
Bhutan,55.0,,31.31,64.98,58.10,37.53,15.54,0.00,55.30,
Bonaire,,,,42.28,,,6.95,,,
Botswana,72.0,,60.88,47.36,59.86,38.33,41.73,27.33,46.06,
Bulgaria,80.0,129.20,48.82,61.06,55.27,37.09,9.18,28.78,64.15,81.22
Bermuda,,,87.21,65.42,70.14,141.39,7.23,40.57,13.54,
Brazil,78.0,104.05,34.80,30.96,55.69,39.76,16.54,41.98,55.79,93.21
British Virgin Islands,,,,35.29,,,,,86.21,
Bosnia And Herzegovina,,123.98,44.30,58.60,53.12,36.44,12.55,27.16,62.03,80.48
Brunei,28.0,,93.28,72.48,76.49,44.27,3.33,28.38,33.16,
Benin,82.0,,,73.68,44.44,,,20.00,97.41,
Yemen,13.0,,16.56,26.43,29.37,46.82,23.02,15.00,81.43,
Belize,86.0,,61.54,46.26,46.85,49.49,10.41,16.00,53.34,
Barbados,96.0,,54.30,53.08,69.95,81.16,6.67,32.50,24.88,
Zimbabwe,30.0,,27.36,42.95,40.24,56.51,21.51,22.88,73.59,
Belgium,95.0,156.62,89.92,56.14,75.11,72.63,6.96,34.84,51.73,85.99
Belarus,21.0,135.07,39.20,75.36,58.99,34.78,15.17,31.03,43.76,64.37
Zambia,55.0,,65.26,59.05,53.98,32.19,293.58,28.40,87.81,
Vietnam,20.0,85.39,29.23,52.89,55.26,38.99,22.43,29.50,86.27,71.24
Venezuela,26.0,0.00,2.67,15.57,39.77,27.50,142.00,32.54,75.16,99.93
Vanuatu,81.0,,,66.69,20.83,,6.91,,40.14,
Uzbekistan,7.0,127.52,24.93,71.08,48.81,26.77,15.66,31.91,39.74,69.79
Us Virgin Islands,,,,45.16,48.41,,13.03,15.00,10.63,
Uruguay,98.0,125.36,38.56,46.97,65.50,52.43,16.80,40.23,45.40,98.04
United States,,174.49,115.44,53.05,69.27,72.61,3.50,32.74,36.44,76.51
United Kingdom,,164.35,95.99,55.89,74.20,64.77,10.05,34.53,40.75,87.86
Uganda,37.0,,21.38,40.16,48.12,31.21,37.44,42.40,82.62,
United Arab Emirates,,157.70,96.76,84.45,66.50,65.09,5.03,37.21,52.15,45.23
Turkey,32.0,126.47,42.64,60.29,69.74,35.46,8.37,44.39,68.40,93.26
Ukraine,62.0,102.83,32.03,51.31,51.56,32.61,13.39,38.57,65.65,70.31
Turks And Caicos Islands,,,,58.60,69.44,,8.64,,41.38,
Tunisia,70.0,121.09,36.09,58.08,57.68,27.04,11.06,32.58,69.73,93.24
Turkmenistan,4.0,,10.52,58.98,52.04,99.04,30.35,14.33,34.83,
Trinidad And Tobago,,,49.40,27.30,53.53,54.54,5.78,51.24,67.28,
Togo,47.0,,,63.31,,,6.75,7.00,82.50,
Tanzania,52.0,,17.46,39.58,53.10,35.12,19.42,29.86,64.50,
Timor-Leste,69.0,,6.99,59.33,54.58,53.97,42.86,25.00,59.89,
Tonga,75.0,,,33.98,66.67,,9.64,,,
Tajikistan,11.0,,14.98,44.12,35.19,27.25,19.23,27.00,60.30,
