Location,Rank,Region,Subregion,Rate,Count,Year
Burundi,1,Africa,Eastern Africa,6.02,635,2016
Comoros,2,Africa,Eastern Africa,7.70,60,2015
Djibouti,3,Africa,Eastern Africa,6.48,60,2015
Eritrea,4,Africa,Eastern Africa,8.04,390,2015
Ethiopia,5,Africa,Eastern Africa,7.56,"7,552",2015
Kenya,6,Africa,Eastern Africa,5.00,"2,466",2017
Madagascar,7,Africa,Eastern Africa,7.69,"1,863",2015
Malawi,8,Africa,Eastern Africa,1.73,279,2012
Mauritius,9,Africa,Eastern Africa,1.82,23,2016
Mayotte,10,Africa,Eastern Africa,5.93,12,2009
Mozambique,11,Africa,Eastern Africa,3.40,849,2011
Réunion,12,Africa,Eastern Africa,1.82,15,2009
Rwanda,13,Africa,Eastern Africa,2.52,293,2015
Seychelles,14,Africa,Eastern Africa,12.74,12,2016
Somalia,15,Africa,Eastern Africa,4.31,599,2015
South Sudan,16,Africa,Eastern Africa,13.90,"1,504",2012
Uganda,17,Africa,Eastern Africa,11.00,"4,735",2017
Tanzania,18,Africa,Eastern Africa,6.95,"3,746",2015
Zambia,19,Africa,Eastern Africa,5.30,853,2015
Zimbabwe,20,Africa,Eastern Africa,6.67,981,2012
Angola,21,Africa,Middle Africa,4.85,"1,217",2012
Cameroon,22,Africa,Middle Africa,1.40,341,2017
Central African Republic,23,Africa,Middle Africa,19.76,913,2016
Chad,24,Africa,Middle Africa,9.04,"1,266",2015
Congo,25,Africa,Middle Africa,9.32,466,2015
Democratic Republic of the Congo,26,Africa,Middle Africa,13.55,"10,322",2015
Equatorial Guinea,27,Africa,Middle Africa,2.31,27,2015
Gabon,28,Africa,Middle Africa,8.04,155,2015
São Tomé and Príncipe,29,Africa,Middle Africa,3.36,6,2011
Algeria,30,Africa,Northern Africa,1.36,542,2015
Egypt,31,Africa,Northern Africa,2.51,"2,207",2012
Libya,32,Africa,Northern Africa,2.50,156,2015
Morocco,33,Africa,Northern Africa,2.10,761,2017
Sudan,34,Africa,Northern Africa,5.16,"1,702",2008
Tunisia,35,Africa,Northern Africa,3.05,332,2012
Botswana,36,Africa,Southern Africa,15.04,303,2010
Eswatini,37,Africa,Southern Africa,9.50,130,2017
