Location,Road fatalities per 100000 inhabitants per year,Road fatalities per 100000 motor vehicles,Road fatalities per 1 billion vehicle-km,Total fatalities latest year,Year
World,18.2,,,1350000,2016
Africa,26.6,574,,246719,2016
Eastern Mediterranean,18.0,139,,122730,2016
Western Pacific,16.9,69,,328591,2016
South-east Asia,20.7,101,,316080,2016
Americas,15.6,33,,153789,2016
Europe,9.3,19,,84589,2016
Afghanistan,15.5,722.4,,4734,2013
Albania,15.1,107.2,,478,2013
Algeria,23.8,127.8,,9337,2013
Andorra,7.6,7.9,,6,2013
Angola,26.9,992,,5769,2013
Antigua & Barbuda,6.7,20,,6,2013
Argentina,13.6,24.3,,5619,2013
Armenia,18.3,18.2,,546,2013
Australia,5.6,7.4,5.2,1351,2016
Austria,5.2,6.1,5.1,452,2016
Azerbaijan,10.0,83,,943,2013
Bahamas,13.8,36,,52,2013
Bahrain,5.2,14.3,,78,2017
Bangladesh,13.6,1020.6,,21316,2013
Barbados,6.7,16.9,,19,2013
Belarus,13.7,32.9,,1282,2013
Belgium,5.8,9,7.3,657,2016
Belize,24.4,26,,81,2013
Benin,27.5,635.6,,2986,2016
Bhutan,15.1,167.2,,114,2013
Bolivia,23.2,205.2,,3476,2013
Bosnia and Herzegovina,17.7,76.7,,676,2013
Botswana,23.6,91.6,,477,2013
Brazil,23.4,57.5,,46935,2013
Bulgaria,8.3,17.2,,601,2013
Burkina Faso,30.0,328.1,,5072,2013
Cambodia,17.4,107.2,,2635,2013
Cameroon,27.6,1385.1,,6136,2013
Canada,5.8,8.9,5.1,2118,2016
Cape Verde,26.1,229,,130,2013
Central African Republic,33.6,4484.4,,1546,2016
Chad,24.1,497,,3089,2013
Chile,12.4,51.1,,2179,2013
China,18.8,104.5,,261367,2013
Colombia,16.8,83.3,,8107,2013
Congo,26.4,1063,,1174,2013
Cook Islands,24.2,40.2,,5,2013
Costa Rica,13.9,38.4,,676,2013
Croatia,9.2,21.1,,395,2013
Cuba,7.5,133.7,,840,2013
Cyprus,5.2,9.2,,59,2013
Czech Republic,5.9,8.6,11.5,630,2016
Democratic Republic of the Congo,33.7,,,26529,2016
Denmark,4.0,7.2,3.9,227,2016
Djibouti,24.7,n/a,,216,2013
Dominica,15.3,44.7,,11,2013
Dominican Republic,29.3,94.9,,3052,2013
Ecuador,20.1,183.8,,3164,2013
Egypt,12.8,148.7,,10466,2013
El Salvador,21.1,163.7,,1339,2013
