rank,name,gdp,population,capital,gdp_per_capita,geographic_region_name
1,Switzerland,678887336848.252,8466017,Bern,62125,Europe
2,Japan,4872136945507.59,126785797,Tokyo,42942,Asia
3,Canada,1653042795255.04,36708083,Ottawa,48390,North America
4,Germany,3677439129776.6,82695000,Berlin,50804,Europe
5,United Kingdom,2622433959604.16,66022273,London,44292,Europe
6,Sweden,538040458216.997,10067744,Stockholm,51185,Europe
7,Australia,1323421072479.07,24598933,Canberra,50391,Oceania
8,United States,19390604000000,325719178,"Washington, D.C.",59792,North America
9,Norway,398831956477.937,5282223,Oslo,72058,Europe
10,France,2582501307216.42,67118648,Paris,44081,Europe
11,Netherlands,826200282501.127,17132854,Amsterdam,53933,Europe
12,New Zealand,205852838254.712,4793900,Wellington,39012,Oceania
13,Denmark,324871968807.469,5769603,Copenhagen,50071,Europe
14,Finland,251884887972.766,5511303,Helsinki,44492,Europe
15,Singapore,323907234412.34,5612253,Singapore,94105,Asia
16,China,12237700479375,1386395000,Beijing,16696,Asia
17,Belgium,492681283049.248,11372068,Brussels,46621,Europe
18,Italy,1934797937411.33,60551416,Rome,38233,Europe
19,Luxembourg,62404461274.6636,599449,Luxemboug City,105148,Europe
20,Spain,1311320015515.99,46572028,Madrid,38381,Europe
21,Ireland,333730764773.18,4813608,Dublin,73215,Europe
22,South Korea,1530750923148.7,51466201,Seoul,39548,Asia
23,United Arab Emirates,382575085091.899,9400145,Abu Dhabi,68646,Middle East
24,Russia,1577524145963.17,144495044,Moscow,27893,Eurasia
25,Portugal,217571083045.99,10293718,Lisbon,30487,Europe
26,Thailand,455220920571.129,69037513,Bangkok,17894,Asia
27,India,2597491162897.67,1339180127,New Delhi,7194,Asia
28,Brazil,2055505502224.73,209288278,Brasilia,15637,South America
29,Israel,350850537827.281,8712400,Jerusalem,36405,Middle East
30,Greece,200288277129.038,10760421,Athens,27796,Europe
31,Qatar,167605219780.22,2639211,Doha,124121,Middle East
32,Saudi Arabia,683827144288.536,32938213,Riyadh,54532,Middle East
33,Poland,524509565263.409,37975841,Warsaw,29642,Europe
34,Turkey,851102411118.116,80745020,Ankara,27049,Eurasia
35,Mexico,1149918794765.73,129163276,Mexico City,19938,North America
36,Croatia,54849180228.8716,4125700,Zagreb,24749,Europe
37,South Africa,349419343614.089,56717156,Pretoria (executive); Cape Town (legislative); Bloemfontein (judicial),13573,Africa
38,Malaysia,314500279043.81,31624264,Kuala Lumpur,29144,Asia
39,Vietnam,223863996354.655,95540800,Hanoi,6928,Asia
40,Egypt,235369129337.711,97553151,Cairo,12698,Africa
41,Czech Republic,215725534372.371,10591323,Prague,35537,Europe
42,Morocco,109139484007.429,35739580,Rabat,8568,Africa
43,Indonesia,1015539017536.5,263991379,Jakarta,12404,Asia
44,Costa Rica,57057372468.0383,4905769,San Jose,16894,Central America
45,Sri Lanka,87174682200.4324,21444000,Colombo; Sri Jayawardenepura Kotte (legislative),12863,Asia
46,Peru,211389272242.157,32165485,Lima,13521,South America
47,Hungary,139135029758.29,9781127,Budapest,29559,Europe
48,Argentina,637590419269.324,44271041,Buenos Aires,20918,South America
49,Dominican Republic,75931656814.657,10766998,Santo Domingo,16997,Central America
50,Philippines,313595208737.269,104918090,Manila,8360,Asia
51,Estonia,25921079612.3337,1315480,Tallinn,31649,Europe
52,Panama,61838175800,4098587,Panama City,25405,Central America
53,Chile,277075944401.941,18054726,Santiago,24592,South America
54,Tanzania,52090320325.4736,57310019,Dodoma,3247,Africa
55,Latvia,30264454641.8004,1940740,Riga,27702,Europe
56,Slovenia,48769655479.2388,2066748,Ljubljana,34480,Europe
57,Lithuania,47168303744.1329,2827721,Vilnius,32379,Europe
58,Ecuador,103056619000,16624858,Quito,11507,South America
59,Slovakia,95769031980.1362,5439892,Bratislava,33070,Europe
60,Uruguay,56156972157.6958,3456750,Montevideo,22374,South America
61,Myanmar,69322122755.8536,53370609,Naypyidaw,6265,Asia
62,Romania,211803281924.738,19586539,Bucharest,24605,Europe
63,Oman,72642652795.8387,4636262,Muscat,46011,Middle East
64,Guatemala,75620095537.5005,16913503,Guatemala City,8165,Central America
65,Ukraine,112154185121.406,44831159,Kiev,8754,Europe
66,Colombia,309191382833.365,49065615,Bogota,14437,South America
67,Bulgaria,56831518294.4397,7075991,Sofia,21768,Europe
68,Kazakhstan,159406926359.122,18037646,Astana,26306,Asia
69,Ghana,47330016342.5734,28833629,Accra,4740,Africa
70,Azerbaijan,40747792237.9735,9862429,Baku,17529,Eurasia
71,Jordan,40068308516.2755,9702353,Amman,9173,Middle East
72,Tunisia,40256675208.7294,11532127,Tunis,11936,Africa
73,Belarus,54442374372.5094,9507875,Minsk,18871,Europe
74,Nigeria,375770713742.763,190886311,Abuja,5941,Africa
75,Pakistan,304951818494.066,197015955,Islamabad,5378,Asia
76,Lebanon,51844487742.0232,6082357,Beirut,19565,Middle East
77,Serbia,41431648801.1663,7022268,Belgrade,15060,Europe
78,Angola,124209385825.22,29784193,Luanda,6835,Africa
79,Iran,439513511620.591,81162788,Tehran,20136,Middle East
80,Iraq,197715736040.609,38274618,Baghdad,16710,Middle East
